Name,Location,Locality,City,Cuisine,Rating,Votes,Average-Cost,Latitude,Longitude
Giani,"Subhash Nagar, West Delhi", West Delhi,Delhi,"Desserts,  Ice Cream,  Shakes",1,1,400,28.6404628,77.1052347
Cafe Di Milano,"Dwarka, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  American",4.3,524,1000,28.6158874,77.0224342
PizzaExpress,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Italian,  European",4.4,583,1400,28.5672954,77.32096303
Nanking,"Vasant Kunj, South Delhi", South Delhi,Delhi,"Chinese,  Seafood",4.3,138,2000,28.51319,77.16137308
Baby Dragon Bar and Restaurant,"Sector 18, Noida", Noida,Noida,"Chinese,  North Indian,  Continental,  Thai,  Fast Food",4.2,308,2000,28.5705399,77.3228931
Subway,"DLF Mall of India,Sector 18, Noida", Noida,Noida,Health Food,5,6,500,28.5672954,77.32096303
Moti Mahal Delux - Exclusive,"Sector 18, Noida", Noida,Noida,"North Indian,  Chinese,  Mughlai",4.4,59,1200,28.5705399,77.3228931
Kake Da Hotel,"Paschim Vihar, West Delhi", West Delhi,Delhi,North Indian,4.6,6,1000,28.6695782,77.095956
Dramz Brasserie,"Mehrauli, South Delhi", South Delhi,Delhi,Italian,3.5,14,1200,28.5218262,77.1783232
The Reader's Cafe,"Sector 18, Noida", Noida,Noida,"Italian,  Continental",4.2,17,1200,28.5705399,77.3228931
The Nerdy Indian,"Saket, South Delhi", South Delhi,Delhi,"North Indian,  Continental,  Italian",4.2,57,1000,28.5244107,77.2137253
Theos,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Desserts,  Bakery and Confectionary,  Fast Food",4.3,9,900,28.5672954,77.32096303
Roasted By Roseate,"Vasant Kunj, South Delhi", South Delhi,Delhi,"Desserts,  Fast Food,  Tea",4.4,14,1500,28.51319,77.16137308
MOC - The American Restaurant,"Mayur Vihar Phase - 3, East Delhi", East Delhi,Delhi,"American,  Burger,  Fast Food",3,4,400,28.6018747,77.3259814
Gravity Mantra,"Sector 18, Noida", Noida,Noida,"North Indian,  Italian,  Continental,  Oriental ",4.2,612,2200,28.5705399,77.3228931
Zooby's Kitchen,"Jasola, South Delhi", South Delhi,Delhi,"North Indian,  Chinese",4.4,34,800,28.5427353,77.2913342
Taco Bell,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Mexican,  Tex Mex,  Tex Mex",4.1,54,500,28.5672954,77.32096303
PapaJi & Sons,"Paschim Vihar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  Italian",4.1,7,900,28.6695782,77.095956
The Tandoori Village,"Sector 18, Noida", Noida,Noida,"North Indian,  Chinese,  Mughlai",4.3,77,2100,28.5705399,77.3228931
Dhaba at Atta,"Sector 18, Noida", Noida,Noida,"North Indian,  Chinese,  Mughlai",4.2,399,1500,28.5705399,77.3228931
Chaayos,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Street Food,  Tea,  Fast Food",4.2,28,500,28.5672954,77.32096303
Ka Eclairs & Kafe,"Sector 18, Noida", Noida,Noida,"Desserts,  Bakery and Confectionary,  Fast Food",4.3,83,800,28.5705399,77.3228931
Bikkgane Biryani,"Sector 18, Noida", Noida,Noida,"Biryani,  North Indian",4.1,54,1100,28.5705399,77.3228931
Kaffiiaa,"Sector 18, Noida", Noida,Noida,"Italian,  Fast Food,  Continental,  Seafood",4.1,28,1500,28.5705399,77.3228931
Uncle's Family Restaurant,"Sector 11, Noida", Noida,Noida,"North Indian,  Chinese",3.4,17,600,28.59811245,77.33381362
Chicago Pizza,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Pizza,  Italian",3.7,60,600,28.5672954,77.32096303
Bean Sahab,"Saket, South Delhi", South Delhi,Delhi,"Fast Food,  Italian,  Continental,  American",4.6,13,600,28.5244107,77.2137253
Singla's,"Tilak Nagar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Street Food,  Desserts",4,163,800,28.6365482,77.0964961
Fabcafe by Fabindia,"Vasant Kunj, South Delhi", South Delhi,Delhi,"Health Food,  Modern Indian,  North Indian,  Continental",4.7,77,1200,28.51319,77.16137308
LIT Ultrabar,"Sector 18, Noida", Noida,Noida,"Finger Food,  North Indian,  Chinese,  Continental,  American",3.9,31,1500,28.5705399,77.3228931
The Tummy Section,"Jail Road, West Delhi", West Delhi,Delhi,"Fast Food,  Chinese",3,24,600,28.6170366,77.1058022
Crispy Bites,"Prashant Vihar, North Delhi", North Delhi,Delhi,"North Indian,  Fast Food,  Chinese",3.5,2,500,28.7144481,77.1389988
Krispy Kreme,"DLF Mall of India,Sector 18, Noida", Noida,Noida,"Desserts,  Doughnuts,  Shakes",3.4,33,400,28.5672954,77.32096303
Tummy Nation,"Paschim Vihar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Fast Food",5,2,800,28.6695782,77.095956
Barbeque Nation,"Unity One Mall,Rohini, North Delhi", North Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.5,385,1700,28.71503365,77.1163162
Miam,"Lado Sarai, South Delhi", South Delhi,Delhi,"Bakery and Confectionary,  Desserts",3,2,900,28.5254347,77.1920657
JW Solitaire Restaurant,"NN Mall,Rohini, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Continental",4.2,251,1400,28.7468526,77.1178182
Samarkand,"Ganga Shopping Complex,Sector 29, Noida", Noida,Noida,"North Indian,  Mughlai,  Biryani",4.2,244,2200,28.5677523,77.33599515
Vinayak Restaurant,"Rohini, North Delhi", North Delhi,Delhi,"Pizza,  Fast Food",3.8,20,1000,28.7162092,77.1170743
Red Chilli,"Paschim Vihar, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Mughlai",4.1,169,1500,28.6695782,77.095956
Red Bricks Cafe,"Champa Gali,Saket, South Delhi", South Delhi,Delhi,"Italian,  Chinese,  Continental,  Fast Food",3.8,131,1000,28.5175491,77.199415
Healthy Chef,"Janakpuri, West Delhi", West Delhi,Delhi,"Health Food,  North Indian",4,3,800,28.6219272,77.0874757
Barcode,"Dwarka, West Delhi", West Delhi,Delhi,"Finger Food,  North Indian,  Italian,  Chinese,  Mexican",4.2,575,1600,28.6158874,77.0224342
Pind Balluchi,"Metro Walk Mall,Rohini, North Delhi", North Delhi,Delhi,"North Indian,  Mughlai",4,381,1700,28.72328695,77.11373469
The Cake Mistri,"Paschim Vihar, West Delhi", West Delhi,Delhi,"Fast Food,  Bakery and Confectionary,  Desserts",5,1,500,28.6695782,77.095956
Runway1,"Metro Walk Mall,Rohini, North Delhi", North Delhi,Delhi,"North Indian,  Chinese,  Continental",3.5,455,1500,28.72328695,77.11373469
Wood Box Cafe,"Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"Fast Food,  Shakes",4.2,156,800,28.6423908,77.3684892
Big Belly Burger,"Sainik Farms, South Delhi", South Delhi,Delhi,Burger,5,1,500,28.5067758,77.21857
Channi Pishori Chicken,"Vikaspuri, West Delhi", West Delhi,Delhi,"Chinese,  Mughlai,  Fast Food",4.8,4,400,28.638643,77.0731382
Bella Rossa,"Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese",4.3,16,1000,28.6158874,77.0224342
The Shalimar Xpress,"Sahibabad, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",4,1,800,28.6722772,77.3700121
Punjabi By Nature Express,"Vasant Kunj, South Delhi", South Delhi,Delhi,North Indian,1,1,1100,28.51319,77.16137308
Kamboj's,"Sector 37, Noida", Noida,Noida,"North Indian,  Chinese,  Mughlai",4.5,18,800,28.5706333,77.3272147
The Mint Food,"Rohini, North Delhi", North Delhi,Delhi,"North Indian,  Chinese",5,1,700,28.7162092,77.1170743
Rababi Food Studio,"Janakpuri, West Delhi", West Delhi,Delhi,"Chinese,  Fast Food,  Waffle",4.4,36,600,28.6219272,77.0874757
The French Oven,"Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"Italian,  Fast Food",3.9,10,700,28.6423908,77.3684892
Berco's,"Metro Walk Mall,Rohini, North Delhi", North Delhi,Delhi,"Chinese,  Thai",4.2,331,1500,28.72328695,77.11373469
Mosaic,"Crowne Plaza,Rohini, North Delhi", North Delhi,Delhi,"Continental,  North Indian,  Chinese",4.3,241,3000,28.719921,77.10974056
Bites and Brew,"Vikaspuri, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  Italian,  Chinese,  Mexican",3.6,7,1000,28.638643,77.0731382
Tequila Express,"Vikaspuri, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4.3,29,1600,28.638643,77.0731382
Naivedyam,"Sector 63, Noida", Noida,Noida,South Indian,4.3,481,500,28.620768,77.381494
Kake Da Hotel,"Vasant Kunj, South Delhi", South Delhi,Delhi,North Indian,4,2,1000,28.51319,77.16137308
Shree Maakhan,"Vikaspuri, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental,  South Indian",5,1,400,28.638643,77.0731382
Chanson Mela,"Vikaspuri, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",3.4,23,1200,28.638643,77.0731382
Cafe Uncover,"Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.2,158,1500,28.6158874,77.0224342
Chick Chicken Barbeque,"Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese,  Mughlai",5,1,800,28.6423908,77.3684892
Sunrise Cafe,"Chhatarpur, South Delhi", South Delhi,Delhi,"North Indian,  Continental,  Chinese,  Fast Food",5,3,900,28.5067242,77.1750019
Pavilion 75,"WelcomHotel,Dwarka, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Oriental ",4.2,324,2500,28.5794639,77.0558929
The Yellow Chilli,"Sector 63, Noida", Noida,Noida,"North Indian,  Mughlai",4.3,514,2000,28.620768,77.381494
Moti Mahal Delux - Fine Dining & Bar,"Sector 63, Noida", Noida,Noida,"North Indian,  Chinese,  Mughlai",4.3,126,1800,28.620768,77.381494
Metro,"Uttam Nagar, West Delhi", West Delhi,Delhi,"Mughlai,  North Indian,  Chinese",4.1,54,800,28.6215226,77.0611064
Mystery of Food Restaurant and Bar,"Eros Market Place,Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese,  Mughlai",4.3,408,1800,28.64684135,77.37522463
Resto Yaaar,"Sector 63, Noida", Noida,Noida,"North Indian,  Chinese,  Fast Food",4.4,31,1200,28.620768,77.381494
The Prizm,"Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4.3,87,2000,28.6158874,77.0224342
Giani,"Dwarka, West Delhi", West Delhi,Delhi,"Desserts,  Ice Cream,  Shakes",5,1,400,28.6158874,77.0224342
Cayenne - The House of Spice,"Sector 63, Noida", Noida,Noida,"North Indian,  Oriental ",4.3,70,1700,28.620768,77.381494
Theos,"Sector 41, Noida", Noida,Noida,"Desserts,  Bakery and Confectionary,  Fast Food",4.5,216,900,28.5662237,77.36174561
Val Hal La,"Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Finger Food",4.3,19,1800,28.6423908,77.3684892
Leaf N Loaf,"Sector 62, Noida", Noida,Noida,"Continental,  Health Food",4.4,11,800,28.6211447,77.3643493
Dev's Restaurant & Bar,"TOT Mall,Sector 62, Noida", Noida,Noida,"North Indian,  Chinese,  Asian,  Mughlai",4.1,29,1800,28.6142653,77.37178761
Bluemoon Restrobar,"Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",5,2,600,28.6158874,77.0224342
Kafe Republic,"Eros Market Place,Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,"Fast Food,  North Indian,  Italian,  Chinese,  American",4.4,124,900,28.64684135,77.37522463
Unifrost Cafe,"MG Road, South Delhi", South Delhi,Delhi,"Desserts,  Coffee,  Fast Food,  Pizza",4.4,4,700,28.491562,77.1434808
Bikkgane Biryani,"Sector 63, Noida", Noida,Noida,"Biryani,  North Indian",4,43,1100,28.620768,77.381494
Noon Mirch,"Indirapuram, Ghaziabad", Ghaziabad,Ghaziabad,North Indian,4.1,43,1500,28.6423908,77.3684892
Theos,"Sector 50, Noida", Noida,Noida,"Desserts,  Bakery and Confectionary,  Fast Food",4.4,10,900,28.5762012,77.37278536
#3BROS,"Sector 63, Noida", Noida,Noida,"Multi-Cuisine,  Chinese,  Continental,  Thai,  European,  Asian,  Mughlai,  Pizza",3.9,64,1000,28.620768,77.381494
Food Forest,"Chhatarpur, South Delhi", South Delhi,Delhi,"North Indian,  Chinese,  South Indian",4.5,6,500,28.5067242,77.1750019
La Kababiyaa,"Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Chinese",4.5,36,900,28.6158874,77.0224342
Churchill's Cafe,"Pacific Mall,Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Italian,  Chinese,  Continental",4.4,128,1500,28.5524351,77.057885
Chaayos,"Sector 50, Noida", Noida,Noida,"Street Food,  Tea,  Fast Food",4.5,2,500,28.5762012,77.37278536
Chili's American Grill and Bar,"Vegas Mall,Dwarka, West Delhi", West Delhi,Delhi,"Mexican,  American,  Italian",4.5,168,2000,28.60108445,77.02960065
Sehat Cafe,"Dwarka, West Delhi", West Delhi,Delhi,"Fast Food,  Health Food,  North Indian,  Chinese",3.9,9,800,28.6158874,77.0224342
Social,"Vegas Mall,Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Continental",4.4,144,2000,28.60108445,77.02960065
Chatar Patar,"Uttam Nagar, West Delhi", West Delhi,Delhi,Fast Food,3.7,6,400,28.6215226,77.0611064
Cafe More Life,"Dwarka, West Delhi", West Delhi,Delhi,"Fast Food,  North Indian,  Chinese",3.4,19,600,28.6158874,77.0224342
Hong Kong Express,"Vasant Kunj, South Delhi", South Delhi,Delhi,"Chinese,  Thai",1,1,800,28.51319,77.16137308
Cake Palace,"Dwarka, West Delhi", West Delhi,Delhi,"Fast Food,  Bakery and Confectionary,  Desserts",5,1,400,28.6158874,77.0224342
Walking Street,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mughlai,  Multi-Cuisine,  Fast Food,  Italian,  Chinese,  Seafood",4.2,351,2200,28.4669197,77.0671306
Cafe Delhi Heights,"Vegas Mall,Dwarka, West Delhi", West Delhi,Delhi,"Modern Indian,  Italian,  Continental,  American",4.5,87,2000,28.60108445,77.02960065
Dasaprakash,"Sector 104, Noida", Noida,Noida,"South Indian,  North Indian,  Continental,  Oriental ",4.3,382,800,28.5577363,77.3234575
Maini's Green Leaf,"Sector 78, Noida", Noida,Noida,North Indian,4.3,286,1000,28.5577363,77.3234575
Singla's,"Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  South Indian,  Desserts,  Fast Food",3.6,49,800,28.6158874,77.0224342
Routine Affaire,"MG Road, Gurgaon", Gurgaon,Gurgaon,"Continental,  Mexican,  Italian,  American",4.1,69,1800,28.4769544,77.06624
The Yellow Chilli,"Sector 104, Noida", Noida,Noida,"North Indian,  Mughlai",4.5,226,1800,28.5577363,77.3234575
Kebabs & Kurries,"WelcomHotel,Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Mughlai",4.4,122,2500,28.5794639,77.0558929
Appetizing Bakes,"Kapashera, South Delhi", South Delhi,Delhi,"Desserts,  Bakery and Confectionary,  Fast Food",5,1,300,28.527295,77.0823049
The Chocolate Room,"Dwarka, West Delhi", West Delhi,Delhi,"Desserts,  Italian,  Mexican",3.8,34,1000,28.6158874,77.0224342
Creo,"Vivanta New Delhi,Dwarka, West Delhi", West Delhi,Delhi,"Multi-Cuisine,  North Indian,  Italian,  Continental,  Asian",4.5,109,3000,28.55763705,77.0624842
Garam Dharam,"Mohan Nagar, Ghaziabad", Ghaziabad,Ghaziabad,North Indian,3.6,44,1300,28.6785372,77.3840026
Crops And Curries,"Sector 76, Noida", Noida,Noida,"North Indian,  Chinese,  Italian",4.3,46,2000,28.5653305,77.3796581
Aatithyam,"Sector 104, Noida", Noida,Noida,"South Indian,  North Indian",3.9,69,500,28.5577363,77.3234575
Bark Street,"Sector 110, Noida", Noida,Noida,"Italian,  Pizza,  Chinese,  Fast Food",4,18,600,28.5577363,77.3234575
Banjara,"Goldfinch Hotel,Surajkund, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Continental",4.1,11,2000,28.48761975,77.29034365
Drool Fresh Bake House Cafe,"Dwarka, West Delhi", West Delhi,Delhi,"Italian,  Chinese",4.4,243,2200,28.6158874,77.0224342
Barbeque Nation,"Vegas Mall,Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Barbecue,  Mughlai",4.2,145,1700,28.60108445,77.02960065
Govinda Restaurant,"Dwarka, West Delhi", West Delhi,Delhi,"North Indian,  Chinese,  Biryani",4.8,3,650,28.6158874,77.0224342
Baraamda,"Sector 122, Noida", Noida,Noida,"North Indian,  Chinese",4,184,1000,28.59290615,77.39756613
PUBG Foodcity,"Uttam Nagar, West Delhi", West Delhi,Delhi,"Fast Food,  Chinese",3,4,400,28.6215226,77.0611064
Jamie's Pizzeria By Jamie Oliver,"Vegas Mall,Dwarka, West Delhi", West Delhi,Delhi,"Italian,  Pizza",4.2,40,2000,28.60108445,77.02960065
Taco Bell,"Vegas Mall,Dwarka, West Delhi", West Delhi,Delhi,"Mexican,  Tex Mex",3.8,7,500,28.60108445,77.02960065
Le Chef Resto Bar,"Sector 37, Faridabad", Faridabad,Noida,"North Indian,  Chinese,  Continental",4,27,1500,28.4797316,77.31185982
Foxtrot,"DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,Continental,4.5,111,1500,28.4984434,77.0883206
Gravity Spacebar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Oriental ,  Modern Indian",3.9,217,2000,28.4669197,77.0671306
Guftagu Cafe,"DLF Phase - 2, Gurgaon", Gurgaon,Gurgaon,"Italian,  Fast Food,  Continental",4.1,137,700,28.483901,77.0846097
Duty Free | Vayu,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",4.1,911,2200,28.4669197,77.0671306
Pind Balluchi,"Udyog Vihar, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mughlai",4.3,47,1700,28.4917349,77.0819718
Chaayos,"DLF Cyber City, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4.1,13,500,28.4984434,77.0883206
Distillery - Craft Beer and Cocktails,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Oriental ",4.2,211,2100,28.4669197,77.0671306
New Ferringhi Garden & Restaurant,"DLF Phase - 2, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Mughlai",5,1,800,28.483901,77.0846097
Khaane Ki Dukaan,"Sector 37, Faridabad", Faridabad,Noida,"North Indian,  Chinese",4.5,2,700,28.4797316,77.31185982
Blue Tokai Coffee Roasters,"DLF Phase - 1, Gurgaon", Gurgaon,Gurgaon,"Coffee,  Fast Food",5,1,900,28.4714258,77.0939606
Molecule Air Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Italian,  Chinese,  Continental,  Mediterranean,  Asian",4.3,1342,2800,28.4669197,77.0671306
Tossin Pizza,"Sector 22, Gurgaon", Gurgaon,Gurgaon,"Pizza,  Italian",4.5,63,800,28.506318,77.0655182
Rebound Cafe And Lounge,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Italian,  Chinese,  Continental,  Mughlai",4.5,59,1300,28.6818623,77.44611613
Chaayos,"DLF Phase - 1, Gurgaon", Gurgaon,Gurgaon,"Street Food,  Tea,  Fast Food",4,1,500,28.4714258,77.0939606
Feel Alive,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Finger Food,  Italian,  Asian",4.2,260,2500,28.4669197,77.0671306
TYM Cafe & Restaurant,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Fast Food,  Italian,  Chinese,  Continental",4,196,700,28.6818623,77.44611613
ASAP Diner,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Street Food,  Chinese,  South Indian",4.5,196,600,28.6818623,77.44611613
Crepe-Fe,"Ardee City, Gurgaon", Gurgaon,Gurgaon,"Desserts,  Fast Food",5,4,400,28.4410412,77.07920791
21 Gun Salute,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Mughlai,  Multi-Cuisine,  Chinese,  Continental",4.4,494,1800,28.4669197,77.0671306
Decode Air Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  Fusion,  North Indian,  Italian,  Asian,  Oriental ,  Modern Indian,  Sushi",4.2,329,2200,28.4669197,77.0671306
Big Boyz Lounge Air Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Chinese,  Mexican",4,464,2200,28.4669197,77.0671306
Cinch,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mediterranean",3.9,62,2200,28.6818623,77.44611613
JALSA Indian & Ladakhi Kitchen,"DLF Phase - 1, Gurgaon", Gurgaon,Gurgaon,"Oriental ,  Tibetan,  North Indian",3.8,11,1000,28.4714258,77.0939606
Norenj,"South City 2, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Italian,  Mediterranean,  European,  Oriental ",4.5,676,2000,28.4597391,77.0612091
TNG Restaurant,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Mexican,  Oriental ",4,42,1800,28.6818623,77.44611613
Gola Sizzlers,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Sizzlers,  North Indian,  Chinese",4,1,1100,28.6818623,77.44611613
Local,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Continental",3.9,326,1800,28.4669197,77.0671306
The Aravali Story,"Sector 43, Faridabad", Faridabad,Noida,"North Indian,  Fast Food",3.9,30,900,28.61114495,77.38723347
Whisky Samba,"DLF Phase - 5, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Chinese,  Thai,  Japanese,  Indian Cuisine",4.4,371,2500,28.50344495,77.09520476
Desi Thaat,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese,  Continental,  Desserts,  Fast Food",4.3,71,1200,28.6818623,77.44611613
Clock Tower,"Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Asian",4.4,306,2800,28.4643902,77.0951118
Pind Balluchi,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Mughlai",3.9,29,1800,28.6818623,77.44611613
The Bikers Cafe Classic,"Golf Course Road, Gurgaon", Gurgaon,Gurgaon,"Continental,  Italian,  Chinese",4.3,391,1500,28.4643902,77.0951118
The Udta Punjab,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Fast Food,  Italian",4.5,2,600,28.6818623,77.44611613
Howdie Foodie,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",4.2,7,1200,28.6818623,77.44611613
Mashaya Restaurant,"Raj Nagar, Ghaziabad", Ghaziabad,Ghaziabad,"Multi-Cuisine,  North Indian,  Chinese,  Continental,  Mediterranean,  Seafood",3.8,113,1400,28.6818623,77.44611613
My Bar Headquarters,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Chinese,  Continental",4,631,1500,28.4669197,77.0671306
The Spice Route,"Crossings Republik, Ghaziabad", Ghaziabad,Ghaziabad,"North Indian,  Chinese",3.8,6,300,28.62846855,77.43415698
The Ladakhi Kitchen,"DLF Phase - 4, Gurgaon", Gurgaon,Gurgaon,"Chinese,  Tibetan",4.3,8,800,28.4640865,77.0836441
Naivedyam,"Golf Course Road, Gurgaon", Gurgaon,Gurgaon,South Indian,4.4,396,500,28.4643902,77.0951118
Boombox Brewstreet,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Arabian,  North Indian,  Italian,  Continental,  Oriental ",4.2,778,2500,28.4669197,77.0671306
Dasaprakash,"Sector 142, Noida", Noida,Noida,"South Indian,  North Indian,  Continental,  Oriental ",4.3,96,800,28.49911525,77.41260566
Folks,"Sector 16, Faridabad", Faridabad,Noida,"North Indian,  Finger Food,  Chinese,  Thai",4.5,292,1800,28.40904245,77.32232583
Friction The Drinkery,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Continental,  Oriental ",4,154,2100,28.4669197,77.0671306
Pehle Chai,"Sushant Lok, Gurgaon", Gurgaon,Gurgaon,Tea,4.3,4,400,28.4706634,77.0798127
Chattynadu,"Sushant Lok, Gurgaon", Gurgaon,Gurgaon,"South Indian,  Kerala",4.6,27,800,28.4706634,77.0798127
Lost Lemons,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Continental",4.1,162,2500,28.4669197,77.0671306
21 shots -  The MRP Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian",4.1,354,2000,28.4669197,77.0671306
The Burger Club,"Sushant Lok Phase 1, Gurgaon", Gurgaon,Gurgaon,"Burger,  Fast Food",4.5,2,600,28.4545693,77.0826249
The Legacy of Sasuraal,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Seafood",4.1,316,2200,28.4669197,77.0671306
Warehouse Cafe,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Fusion,  Italian,  Chinese",4.1,1107,2500,28.4669197,77.0671306
The Barbeque Company,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Barbecue,  Chinese",4.3,1944,1800,28.4669197,77.0671306
The Whisky Bar & Brewpub,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Finger Food,  North Indian,  Italian,  Chinese,  Continental,  Fast Food",4.2,113,2500,28.4669197,77.0671306
Fabcafe by Fabindia,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Health Food,  Modern Indian,  North Indian,  Continental",4.4,31,1200,28.4669197,77.0671306
Chef's On Fire,"Sector 21C, Faridabad", Faridabad,Noida,"Fast Food,  Shakes",4.5,2,600,28.4301575,77.29560618
Tama Brewery & World Kitchen,"Sector 16, Faridabad", Faridabad,Noida,"Finger Food,  North Indian,  Italian,  Oriental ",4.2,401,2200,28.40904245,77.32232583
Mystery Of Bar,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Italian,  Chinese,  North Indian,  Continental,  Asian",3.6,23,1500,28.4669197,77.0671306
Gung The Palace,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"Korean,  Seafood",4.4,21,2500,28.4669197,77.0671306
Sagar Ratna,"Sector 135, Noida", Noida,Noida,"South Indian,  North Indian,  Chinese",3.8,4,900,28.4640485,77.509924
Spice It,"Ibis Hotel,Sector 53, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Fast Food",3.9,64,1500,28.4467365,77.0996929
Cafe G,"Crowne Plaza Gurgaon,Sector 29, Gurgaon", Gurgaon,Gurgaon,"Multi-Cuisine,  Italian,  Chinese,  Continental,  European,  Fast Food,  Indian Cuisine",4.2,108,4500,28.4684176,77.05981106
The Burger Club,"Sector 14, Gurgaon", Gurgaon,Gurgaon,"Burger,  Fast Food",5,1,600,28.473784,77.0471827
Daddy of Tastes,"Sector 29, Gurgaon", Gurgaon,Gurgaon,"North Indian,  Chinese,  Continental",3.1,11,1300,28.4669197,77.0671306
