State,City,Name,Type,Google review rating,Significance,Number of google review in lakhs,Best Time to visit,latitude,longitude
Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,4.7,Religious,0.3,All,11.0018115,76.9628425
Tamil Nadu,Ooty,Ooty Lake,Lake,4.1,Recreational,0.61,Morning,11.40341705,76.69167888
Telangana,Hyderabad,Salar Jung Museum,Museum,4.4,Historical,0.67,All,17.371392,78.48014982
Telangana,Hyderabad,Hussain Sagar Lake,Lake,4.3,Scenic,0.5,Evening,17.42291125,78.47542103
Telangana,Hyderabad,Charminar,Landmark,4.5,Historical,2.1,Morning,17.3616024,78.47464214
Telangana,Hyderabad,Ramoji Film City,Film Studio,4.4,Entertainment,0.45,All,17.360589,78.4740613
Telangana,Hyderabad,Lumbini Park,Park,4.1,Recreational,0.73,Evening,17.409892,78.47291997
Telangana,Hyderabad,Chowmahalla Palace,Palace,4.4,Historical,0.45,Morning,17.35758165,78.47170546
Telangana,Hyderabad,Birla Mandir,Temple,4.7,Religious,0.41,All,17.4060347,78.46886347
Telangana,Hyderabad,Nehru Zoological Park,Zoo,4.2,Wildlife,0.86,Morning,17.35144185,78.44555984
Telangana,Hyderabad,Golconda Fort,Fort,4.4,Historical,1.2,Morning,17.3833665,78.4010991
Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,4.4,Historical,0.2,Morning,17.3973713,78.4001622
Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,4.5,Shopping,1.2,All,17.43455455,78.38669819
Tripura,Unakoti,Unakoti Rock Carvings,Rock Carvings,4.5,Historical,0.025,Morning,24.19098485,92.04604831
Tripura,Dumboor,Dumboor Lake,Lake,4.5,Nature,0.01,Morning,23.47363145,91.83818815
Tripura,Agartala,Ujjayanta Palace,Palace,4.5,Historical,0.035,All,23.83698675,91.28275067
Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,4.6,Historical,0.065,All,25.3776274,83.0275999
Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,4.7,Religious,0.9,All,25.31082185,83.0106679
Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,4.8,Religious,0.025,All,26.7939953,82.1991437
Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,4.5,Religious,0.09,Morning,25.4222299,81.8923259
Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,4.6,Shopping,0.35,All,26.8087716,81.01279288
Uttar Pradesh,Lucknow,Bara Imambara,Monument,4.4,Historical,0.45,All,26.86864485,80.91249604
Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,4.2,Wildlife,0.21,All,26.4609135,80.3217588
Uttar Pradesh,Jhansi,Jhansi Fort,Fort,4.4,Historical,0.25,All,25.4573176,78.5754799
Uttar Pradesh,Aligarh,Aligarh Fort,Fort,4.1,Historical,0.0165,Afternoon,27.92989525,78.06373239
Uttar Pradesh,Agra,Taj Mahal,Mausoleum,4.6,Historical,2.25,Morning,27.1750075,78.04210126
Uttar Pradesh,Agra,Agra Fort,Fort,4.5,Historical,1.3,Afternoon,27.1798258,78.02082227
Uttar Pradesh,Meerut,Augarnath Temple,Temple,4.8,Religious,0.045,All,29.0018557,77.76796715
Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,4.8,Religious,0.37,All,27.5753726,77.6938045
Uttar Pradesh,Vrindavan,Prem Mandir,Temple,4.8,Religious,0.49,Evening,27.57208885,77.67203795
Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,4.4,Historical,0.07,Afternoon,27.0943123,77.6627939
Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,4.7,Religious,0.13,All,27.633333,77.583333
Uttar Pradesh,Mathura,Nand Gaon,Village,4.1,Cultural,0.01,Morning,27.633333,77.583333
Uttar Pradesh,Mathura,Barsana Mandir,Temple,4.8,Religious,0.1,Morning,27.633333,77.583333
Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,4.2,Shopping,0.45,All,28.4526337,77.5262656
Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,4.6,Sports,7.4,All,28.4670734,77.5137649
Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,4.3,Wildlife,0.035,All,28.5529418,77.321595
Uttar Pradesh,Noida,DLF Mall of India,Mall,4.6,Shopping,1.5,All,28.5672954,77.32096303
Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,4.8,Historical,0.03,Morning,21.6409,69.611
Uttarakhand,Joshimath,Valley of Flowers,National Park,4.7,Nature,0.035,Morning,30.7056798,79.5958552
Uttarakhand,Auli,Auli Ski Resort,Ski Resort,4.5,Adventure,0.01,Morning,30.5309,79.5615
Uttarakhand,Badrinath,Badrinath Temple,Temple,4.8,Religious,0.29,All,30.74468835,79.49116192
Uttarakhand,Nainital,Naini Lake,Lake,4.2,Nature,0.01,Morning,29.3855849,79.46047976
Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,4.3,Wildlife,0.01,All,29.70265095,79.43263182
Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,4,Recreational,0.025,All,29.6323007,79.41541417
Uttarakhand,Chopta,Tungnath Temple,Temple,4.8,Religious,0.09,All,29.9494314,79.078238
Uttarakhand,Kedarnath,Kedarnath,Temple,4.8,Religious,2,All,30.73535835,79.06690878
Uttarakhand,Uttarkashi,Gangotri Temple,Temple,4.8,Religious,0.05,All,30.9944345,78.9411466
Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,4.4,Wildlife,0.3,All,29.5574752,78.84249503
Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,4.4,Cultural,0.03,Morning,30.1298242,78.3208958
Uttarakhand,Haridwar,Har Ki Pauri,Ghat,4.5,Religious,0.025,All,29.9474705,78.1543255
Uttarakhand,Mussoorie,Kempty Falls,Waterfall,4.2,Nature,0.55,Morning,30.4569012,78.0782906
Uttarakhand,Dehradun,Robber's Cave,Cave,4.5,Nature,0.01,Morning,30.3770123,78.0622066
West Bengal,Cooch Behar,Cooch Behar Palace,Palace,4.5,Historical,0.09,All,26.2559197,89.42011428
West Bengal,Sundarbans,Sundarbans National Park,National Park,4.4,Wildlife,0.065,All,22.0239887,89.31360359
West Bengal,Jalpaiguri,Gorumara National Park,National Park,4.4,Wildlife,0.07,All,26.7474882,88.81458592
West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,4.4,Wildlife,0.035,All,26.7164127,88.4309916
West Bengal,Kolkata,Science City Kolkata,Science,4.4,Educational,0.88,All,22.5400604,88.39584722
West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,4.3,Wildlife,0.66,Afternoon,22.5726459,88.3638953
West Bengal,Kolkata,Belur Math,Site,4.7,Religious,0.47,Morning,22.5726459,88.3638953
West Bengal,Kolkata,Marble Palace,Palace,4.4,Historical,0.1,Afternoon,22.5821271,88.36021012
West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,4.7,Religious,0.82,Morning,22.654827,88.35757762
West Bengal,Kolkata,Indian Museum,Museum,4.6,Historical,0.18,Morning,22.5575863,88.35103355
West Bengal,Kolkata,Howrah Bridge,Bridge,4.6,Architectural,1.2,Anytime,22.5844844,88.349294
West Bengal,Kolkata,Victoria Memorial,Museum,4.6,Historical,0.73,Morning,22.5449558,88.34255445
West Bengal,Kolkata,Eden Gardens,Cricket Ground,4.1,Sports,0.1,All,22.56460935,88.3423371
West Bengal,Kolkata,Kalighat Kali Temple,Temple,4.4,Religious,0.5,Morning,22.520211,88.34205959
West Bengal,Darjeeling,Tiger Hill,Sunrise Point,4.5,Nature,0.025,All,26.99490135,88.28533056
West Bengal,Murshidabad,Hazarduari Palace,Palace,4.5,Historical,0.18,Morning,24.1745993,88.2721335
West Bengal,Hooghly,Hangseswari Temple,Temple,4.6,Architectural,0.07,All,22.90994025,88.01208247
West Bengal,Bolpur,Kankalitala Temple,Temple,4.7,Religious,0.045,All,23.661154,87.6962424
West Bengal,Digha,Digha Beach,Beach,4.5,Recreational,0.09,Morning,21.62217525,87.52404909
West Bengal,Purulia,Ayodhya Hills,Hill,4.5,Nature,0.15,All,23.2020967,86.32289877
